WKT,Facility_ID_Hazus,Facility_Name,Address,City,Zip_Code,Contact_Person,Phone_Number,Replacement_Cost_Thousands,Comment,GlobalID,Shape_X,Shape_Y
"POINT (-86.8906368672181 40.4175481017368)",IN000195,Lafayette Police Dept,20 N 6th St # 2,Lafayette,47901-1410, , ,1442, ,{BF60DF74-2FA8-4306-9BB1-DD932E0FA298},-86.8906368672181,40.4175481017368
"POINT (-86.8906368672181 40.4175481017368)",IN000196,Lafayette Police Detective Div,20 N 6th St,Lafayette,47901-1412, , ,1442, ,{D9437F6F-6D2E-43EF-B385-F4B78783EDC7},-86.8906368672181,40.4175481017368
"POINT (-85.334849032316 39.3099194664641)",CO755997,New Point Marshalls office,E CR 195 S,New Point,47263, , ,1442,CountyApproved,{EA3C787C-C728-4765-B255-F5302D2AA116},-85.334849032316,39.3099194664641
"POINT (-86.5251496176412 39.7604402185089)",IN000198,Danville Police Dept,20 S Jefferson St,Danville,46122-1702, , ,1442, ,{7CE07448-43B2-464B-9954-F0B9449CE687},-86.5251496176412,39.7604402185089
"POINT (-86.2495602685536 39.2083403212248)",IN000199,Nashville Town Marshall,200 Commercial Dr,Nashville,47448-0000, , ,1442, ,{A181301F-4E95-4554-901C-B2F9449FC153},-86.2495602685536,39.2083403212248
"POINT (-84.9592759658033 40.5919391666228)",IN000200,Geneva Police Dept,200 E Line St,Geneva,46740-8807, , ,1442, ,{1F7485E1-518B-460F-BFD0-8093D63E8D4A},-84.9592759658033,40.5919391666228
"POINT (-85.1368162826718 41.3511897406693)",IN000205,Garrett City Police Dept,200 N Cowen St,Garrett,46738-1151, , ,1442, ,{09F4C0FD-DF85-49D2-9BF9-607A49845B2D},-85.1368162826718,41.3511897406693
"POINT (-85.0651976517613 38.7461699103566)",CO740183,Police Dept Of Vevay,210 Ferry St,Vevay,47043-1102, , ,1442,CountyApproved,{E6F5FF26-CCDF-4796-B720-912AE5E0B856},-85.0651976517613,38.7461699103566
"POINT (-84.8269175541492 38.838691188273)",CO740185,Switzerland County Sheriff Satellite Ofc,2595 Main Street,Patriot,47038, , ,1442,CountyApproved,{EC2E5750-B7C7-49B8-8FB4-F3D3539D1BB4},-84.8269175541492,38.838691188273
"POINT (-86.6728369644462 40.5864083629428)",IN000211,Delphi Police Dept,201 S Union St,Delphi,46923-1531, , ,1442, ,{9C498350-F33A-49D6-A138-831963CC9959},-86.6728369644462,40.5864083629428
"POINT (-86.5136064194926 40.2816081048504)",IN000213,Frankfort Police Dept,201 W Washington St,Frankfort,46041-1859, , ,1442, ,{7752A332-1037-4473-A27A-5AEC8828752A},-86.5136064194926,40.2816081048504
"POINT (-85.0006763607289 41.6356797154026)",IN000216,Angola Police Dept,202 W Gilmore St,Angola,46703-1414, , ,1442, ,{F7796B32-F89C-41DA-9A2D-866598CE2A7C},-85.0006763607289,41.6356797154026
"POINT (-85.170105390417 40.7398594346932)",IN000219,Bluffton Police Dept,204 E Market St,Bluffton,46714-2197, , ,1442, ,{9B59B075-345A-47EF-A9BB-837A2625ABB8},-85.170105390417,40.7398594346932
